muRate	SelectionCoeff
0.000524927	 0.00010549
0.000118742	 0.000184562
0.000192298	 0.000117806
0.0013909	 0.000171709
0.000114164	 0.0055451
0.000122306	 7.12462e-05
0.000211884	 0.000117806
0.000376958	 8.85925e-05
0.000114164	 0.0055451
0.000122306	 7.12462e-05
0.000211884	 4.61171e-05
0.000116159	 0.000404365
4.84902e-05	 2.69344e-05
0.000389514	 0.000108438
0.000301949	 4.3279e-05
0.000118118	 0.000161003
3.36313e-05	 8.03819e-05
0.000171125	 3.36313e-05
0.000116781	 0.00346634
8.03819e-05	 4.38742e-05
0.000251636	 9.62002e-05
5.92555e-05	 0.000130571
0.000386402	 0.0022175
7.33972e-05	 0.000299393
0.000122306	 8.64705e-05
0.000258612	 0.0013909
0.0055451	 0.000211884
0.000299821	 8.48085e-05
0.000138584	 0.00125294
2.8225e-05	 6.37232e-05
8.03819e-05	 0.00045239
3.4477e-05	 0.00036574
2.36028e-05	 0.000117806
0.000376958	 8.85925e-05
0.000114164	 0.00130222
7.12462e-05	 3.10109e-05
4.61171e-05	 0.000596463
0.000187589	 0.00154431
5.74869e-05	 0.000389514
0.000108438	 5.74869e-05
0.000101122	 0.000258612
0.0013909	 8.48064e-05
0.00154431	 0.000187589
0.00154678	 0.000299393
0.000156043	 0.000113821
8.04792e-05	 0.000386402
8.03819e-05	 0.000143898
0.000241437	 0.00346634
4.54803e-05	 0.000261836
0.0013909	 0.000261836
3.36313e-05	 8.03819e-05
0.00346634	 7.10864e-05
0.000284768	 0.000323056
0.000184562	 0.0055451
0.000122306	 0.00010549
0.000211884	 0.000326316
0.00012038	 0.000256572
0.000229706	 0.000159066
9.73512e-05	 8.70864e-05
0.000284768	 0.000281637
0.000308353	 0.000288523
0.000284768	 0.000113274
0.000364476	 6.08129e-05
0.000116781	 0.00346634
8.90394e-05	 0.000251636
8.04792e-05	 0.000100007
0.000156043	 0.000473273
0.000258612	 0.000138584
8.48085e-05	 3.60186e-05
8.48064e-05	 0.000167095
7.10864e-05	 0.000120194
0.000145026	 5.69913e-05
0.00296103	 0.000326316
0.000159937	 0.000164744
0.000123076	 6.08129e-05
0.000268975	 6.84738e-05
8.90394e-05	 0.000133758
0.000146127	 0.000138584
8.48085e-05	 3.60186e-05
9.01083e-05	 0.000103263
0.000301949	 0.000160289
0.000146127	 0.000325324
0.000348663	 9.01083e-05
0.000122306	 0.000116781
0.000258612	 0.0013909
8.48064e-05	 0.0055451
0.000211884	 7.10864e-05
0.000284768	 0.000323056
0.000184562	 0.00346634
0.000261836	 0.00010549
0.000241437	 0.000256572
0.000284768	 0.000281637
8.48085e-05	 0.000163528
0.000138584	 3.60186e-05
0.000364476	 0.00036574
0.000130571	 8.30755e-05
8.48085e-05	 2.90399e-05
0.000138584	 3.60186e-05
7.33972e-05	 0.000326316
0.000103263	 8.70864e-05
3.4477e-05	 0.000159066
0.00036574	 2.36028e-05
0.000700283	 0.000299393
0.000156043	 0.000113821
8.04792e-05	 0.000386402
3.36313e-05	 0.000596463
0.000122306	 0.0055451
8.03819e-05	 0.000211884
0.000824755	 0.000187589
0.00154431	 5.74869e-05
0.00154431	 0.000187589
0.000248224	 0.000102141
0.000130571	 8.30755e-05
7.33972e-05	 4.61171e-05
0.000141273	 0.000404365
4.84902e-05	 2.69344e-05
0.000108438	 3.36313e-05
0.000596463	 8.03819e-05
0.000211884	 0.000325324
0.000254476	 0.000258121
8.24508e-05	 3.60602e-05
9.62002e-05	 0.00125294
9.56813e-05	 4.3279e-05
5.69913e-05	 0.000120194
0.000376958	 0.000171125
0.000524927	 0.00010549
0.000210813	 7.10864e-05
0.000184562	 0.000219456
0.000184562	 8.82883e-05
0.000130571	 0.000122306
0.0055451	 7.33972e-05
0.000211884	 8.30755e-05
0.000219456	 0.000210813
0.000130571	 0.000261836
0.00346634	 7.33972e-05
0.00187555	 0.000251636
0.000364476	 0.000281637
8.30755e-05	 7.33972e-05
0.000125136	 0.00010549
9.62002e-05	 0.000240147
0.000120194	 0.000113821
5.69913e-05	 3.36313e-05
0.000596463	 0.0055451
8.03819e-05	 4.38742e-05
0.000211884	 5.74869e-05
0.00015993	 0.000404365
4.84902e-05	 2.69344e-05
0.00154431	 0.000187589
8.04792e-05	 0.00036574
2.90399e-05	 0.000156043
0.0055451	 0.000113821
0.000211884	 0.000268975
0.000116609	 0.000130571
2.39387e-05	 7.33972e-05
0.000101984	 0.000164744
6.84738e-05	 8.30755e-05
0.000308353	 0.000113274
0.000268975	 0.000326316
0.000123076	 0.000184562
0.00346634	 0.000261836
0.00010549	 0.000241437
0.000219456	 0.000210813
8.24508e-05	 3.60602e-05
9.62002e-05	 0.000256572
0.000100007	 7.10864e-05
0.000120194	 0.000145026
5.69913e-05	 0.000425759
0.00346634	 6.08129e-05
8.70864e-05	 0.00027653
0.000159937	 0.000159066
8.90394e-05	 0.000114164
0.000116781	 0.000301949
0.000146127	 0.000117806
7.10864e-05	 0.000325324
0.000254476	 0.000184562
0.00346634	 0.000261836
0.000241437	 0.00047456
0.000100007	 0.000156043
0.0022175	 0.000113821
0.000299393	 5.74869e-05
0.000116781	 0.00125294
0.000258121	 6.37232e-05
0.00154431	 0.000187589
2.39387e-05	 5.26291e-05
0.000258612	 8.48064e-05
0.0013909	 3.10109e-05
0.000122306	 0.000116781
0.00125294	 0.000258121
6.37232e-05	 0.0055451
0.000211884	 8.30755e-05
0.000184562	 8.82883e-05
0.000130571	 0.000386402
0.0022175	 7.33972e-05
0.000299393	 7.10864e-05
0.000325324	 0.000254476
0.000184562	 0.00346634
0.000261836	 0.00010549
0.000241437	 0.000101122
0.000120194	 5.69913e-05
5.69913e-05	 0.000120194
0.000376958	 0.000376958
0.000122306	 0.000524927
0.000187589	 0.00154431
5.74869e-05	 0.0055451
0.000211884	 0.000120208
0.000156043	 0.000229706
0.000256572	 7.49262e-05
9.73512e-05	 0.000113821
0.000125136	 0.00010549
0.000210813	 7.10864e-05
