MutationType   SelectionCoeff   GENIE_counts
Multi   0.553176674099668   0
Multi   0.488767815484731   0
Single   0.141171582219857   0
Single   0.626548212977461   0
Multi   0.926293991066458   0
Multi   1.50128882354972   0
Multi   1.11727187182041   0
Multi   0.818825191195754   0
Multi   0.787809038558668   0
Multi   1.01072471984921   0
Multi   0.0964032057932382   0
Single   0.0853585081364713   0
Multi   0.176975907253863   0
Single   0.666509967625762   0
Multi   0.0584097086273224   0
Multi   0.114926087584693   0
Multi   0.250679638098993   0
Single   0.456515886458592   0
Single   0.140955871931989   0
Multi   0.0539677874563367   0
Multi   0.281065667160358   0
Single   0.0059797411330666   0
Single   0.0424998087833204   0
Multi   0.0235695219066876   0
Multi   0.0539169405100643   0
Multi   0.2519131872944   0
Single   0.371303536259835   0
Multi   0.0598373204899533   0
Multi   0.12108872720125   0
Multi   0.0410506406041158   0
Single   0.0369282708284154   0
Multi   0.48372719884286   0
Multi   0.148568355978739   0
Single   0.0634892194344473   0
Multi   0.446370158313103   0
Multi   0.0919264951916107   0
Multi   0.0497666819671225   0
Single   0.127232224317295   0
Multi   0.0876343252543414   0
Multi   0.131121284937872   0
Multi   0.932113260680008   0
Multi   0.0263359082212947   0
Multi   0.17724888871781   0
Single   0.160992830793665   0
Single   0.411857588753863   0
Multi   0.240390155403704   0
Multi   0.507489111668971   0
Single   0.0244401646488348   0
Multi   0.334842747271269   0
Multi   0.0643329908489771   0
Multi   0.205891482940224   0
Multi   0.186207858404724   0
Multi   0.621115458089764   0
Multi   0.85373172763956   0
Multi   0.570565986453152   0
Multi   0.686572570076922   0
Single   0.0490763358074634   0
Multi   0.0231338100895608   0
Multi   0.472356856491731   0
Multi   0.360381569652605   0
Single   0.279436486546527   0
Multi   0.207049839524285   0
Single   0.051195525941742   0
Single   0.0613652891674931   0
Multi   0.544899990239647   0
Single   0.206736458218012   0
Single   0.595885815357762   0
Multi   0.201694595601826   0
Single   0.338013276588513   0
Single   0.471591869565793   0
Multi   0.493843189914897   0
Multi   1.43799436564251   0
Multi   1.1122917678325   0
Multi   0.35862052267049   0
Multi   0.825487173297743   0
Single   0.520780799712929   0
Multi   0.891605418431229   0
Single   0.715672007993466   0
Single   0.327462338031513   0
Multi   0.592380311431971   0
Multi   0.551393524607673   0
Multi   0.714203381091247   0
Multi   1.5301467782457   0
Single   1.23432244638463   0
Multi   2.65889448534902   0
Multi   1.13253853614355   0
Multi   1.55636903104147   0
Multi   1.38265172295636   0
Single   1.15509148230918   0
Multi   1.99736969455607   0
Single   1.33648181190911   0
Multi   1.44168807202451   0
Multi   1.30314672194673   0
Multi   1.5558580366693   0
Multi   1.23534208615723   0
Multi   1.28607549006955   0
Single   0.800521105319475   0
Multi   1.14573349544247   0
Single   1.39040453382261   0
Multi   1.69570471574095   0
Single   1.07349357901274   0
Multi   0.520038168427844   0
Single   0.530514977016457   0
Multi   0.246921067155053   0
Multi   0.22793762620382   0
Multi   0.161276979190796   0
Multi   1.34240035080022   0
Multi   0.0779354783746315   0
Single   0.369254444139542   0
Single   0.196279446380898   0
Multi   1.56911620016893   0
Multi   0.512349069969135   0
Multi   1.00745938717012   0
Multi   0.0695895704061325   0
Multi   0.0618211873787862   0
Multi   1.31373427769483   0
Multi   1.29587266124518   0
Multi   0.826989388853722   0
Multi   0.275806355937518   0
Single   0.219659745813052   0
Multi   0.843200050651612   0
Multi   1.02032490194931   0
Single   1.05375916085405   0
Single   1.13715412473018   0
Single   0.301293489454979   0
Multi   1.34778545049106   0
Multi   1.04622017447992   0
Single   0.435043215717214   0
Multi   0.936462666339606   0
Multi   1.13610247012538   0
Single   0.886781439822946   0
Multi   1.82542896896823   0
Multi   1.7731333883651   0
Multi   1.72415539344699   0
Single   1.2890272929433   0
Multi   1.85365676162728   0
Multi   1.77963884324629   0
Multi   1.19810271726385   0
Single   0.889968326058909   0
Multi   1.5376554319365   0
Multi   1.58490636686259   0
Multi   1.50730488280257   0
Multi   1.44379378722809   0
Single   1.24968927357898   0
Single   1.25837949026923   0
Multi   1.74019894461371   0
Multi   1.70225726239802   0
Multi   1.16648766919378   0
Single   0.715359755477631   1
Multi   0.563859561487434   0
Multi   0.0164653972765261   0
Multi   0.240988344777837   0
Single   0.767207163260226   0
Multi   0.626626049787275   0
Multi   0.907494798856791   0
Multi   0.0852891588507846   0
Single   0.559340480353741   0
Multi   1.25955635684191   0
Single   0.271981902047768   0
Single   0.143128694279812   0
Multi   0.812823057257863   0
Multi   1.66116878460148   0
Multi   0.647237357710292   0
Single   0.453904704768344   0
Multi   0.413245632779175   0
Multi   0.335880804901838   0
Multi   0.063196213964921   0
Single   0.93229318382921   0
Multi   0.546309543115766   0
Single   1.35816408166887   0
Multi   0.120280105674974   0
Multi   0.499451589366782   0
Single   0.234795405933375   0
Multi   1.25112164929317   0
Multi   1.46938486856984   0
Multi   0.0601502739864521   0
Multi   1.39076743345393   0
Multi   0.814120837830445   0
Multi   0.692182991185535   0
Multi   1.2134484613513   0
Multi   1.48889464891057   0
Single   1.26969002314418   0
Multi   1.37172070107543   0
Single   0.580310938827972   0
Single   0.207058504174062   0
Multi   0.532726818727042   0
Multi   0.0720668891187028   0
Multi   1.05777986980164   0
Single   1.07740966606019   0
Multi   1.52228140861765   0
Single   0.929641877915029   0
Multi   1.38356484916523   0
Multi   1.36226955178873   0
